"","Domain","GEOID","CountyName","NAME","Label","Stat","Value"
"167","badegreeE","51540000502","Charlottesville","Census Tract 5.02, Charlottesville city, Virginia","Have Bachelors Degree","Tract","60.9% of Adults"
"168","hhincE","51540000502","Charlottesville","Census Tract 5.02, Charlottesville city, Virginia","Median Household Income","Tract","$88,000"
"169","life_expE","51540000600","Charlottesville","Census Tract 6, Charlottesville city, Virginia","Average Life Expectancy","Tract","NA Years"
"170","badegreeE","51540000600","Charlottesville","Census Tract 6, Charlottesville city, Virginia","Have Bachelors Degree","Tract","64% of Adults"
"171","hhincE","51540000600","Charlottesville","Census Tract 6, Charlottesville city, Virginia","Median Household Income","Tract","$31,458"
"172","life_expE","51540000700","Charlottesville","Census Tract 7, Charlottesville city, Virginia","Average Life Expectancy","Tract","82.6 Years"
"173","badegreeE","51540000700","Charlottesville","Census Tract 7, Charlottesville city, Virginia","Have Bachelors Degree","Tract","82.5% of Adults"
"174","hhincE","51540000700","Charlottesville","Census Tract 7, Charlottesville city, Virginia","Median Household Income","Tract","$78,565"
"175","life_expE","51540000800","Charlottesville","Census Tract 8, Charlottesville city, Virginia","Average Life Expectancy","Tract","79.4 Years"
"176","badegreeE","51540000800","Charlottesville","Census Tract 8, Charlottesville city, Virginia","Have Bachelors Degree","Tract","51.7% of Adults"
"177","hhincE","51540000800","Charlottesville","Census Tract 8, Charlottesville city, Virginia","Median Household Income","Tract","$75,293"
"178","life_expE","51540000900","Charlottesville","Census Tract 9, Charlottesville city, Virginia","Average Life Expectancy","Tract","81.3 Years"
"179","badegreeE","51540000900","Charlottesville","Census Tract 9, Charlottesville city, Virginia","Have Bachelors Degree","Tract","52.2% of Adults"
"180","hhincE","51540000900","Charlottesville","Census Tract 9, Charlottesville city, Virginia","Median Household Income","Tract","$72,267"
"181","life_expE","51540001000","Charlottesville","Census Tract 10, Charlottesville city, Virginia","Average Life Expectancy","Tract","82.5 Years"
"182","badegreeE","51540001000","Charlottesville","Census Tract 10, Charlottesville city, Virginia","Have Bachelors Degree","Tract","74.4% of Adults"
"183","hhincE","51540001000","Charlottesville","Census Tract 10, Charlottesville city, Virginia","Median Household Income","Tract","$76,220"
"184","life_expE","51003010100","Albemarle County","Census Tract 101, Albemarle County, Virginia","Average Life Expectancy","County","80.65 Years"
"185","badegreeE","51003010100","Albemarle County","Census Tract 101, Albemarle County, Virginia","Have Bachelors Degree","County","56.1% of Adults"
"186","hhincE","51003010100","Albemarle County","Census Tract 101, Albemarle County, Virginia","Median Household Income","County","$ 76,234"
"187","life_expE","51003010201","Albemarle County","Census Tract 102.01, Albemarle County, Virginia","Average Life Expectancy","County","80.65 Years"
"188","badegreeE","51003010201","Albemarle County","Census Tract 102.01, Albemarle County, Virginia","Have Bachelors Degree","County","56.1% of Adults"
"189","hhincE","51003010201","Albemarle County","Census Tract 102.01, Albemarle County, Virginia","Median Household Income","County","$ 76,234"
"190","life_expE","51003010202","Albemarle County","Census Tract 102.02, Albemarle County, Virginia","Average Life Expectancy","County","80.65 Years"
"191","badegreeE","51003010202","Albemarle County","Census Tract 102.02, Albemarle County, Virginia","Have Bachelors Degree","County","56.1% of Adults"
"192","hhincE","51003010202","Albemarle County","Census Tract 102.02, Albemarle County, Virginia","Median Household Income","County","$ 76,234"
"193","life_expE","51003010300","Albemarle County","Census Tract 103, Albemarle County, Virginia","Average Life Expectancy","County","80.65 Years"
"194","badegreeE","51003010300","Albemarle County","Census Tract 103, Albemarle County, Virginia","Have Bachelors Degree","County","56.1% of Adults"
"195","hhincE","51003010300","Albemarle County","Census Tract 103, Albemarle County, Virginia","Median Household Income","County","$ 76,234"
